     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	begin  	call   	do    	else   	end   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	B1    	B2    	C    	D    	E    	E1    	E2    	EL    	L    	M    	M0    	N    	N1    	N2    	P    	P'    	R    	S    	S0    	S1    	S2    	S3    	T    	X    
0    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s553   	s513   	--    	--    	--    	--    	s503   	s545   	--    	--    	--    	--    	s2    	--    	--    	--    	--    	s529   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	507   	--    	--    	--    	--    	--    	1    	--    	--    	500   	--    	511   	512   	--    	--    	--    	
35    	--    	--    	r14   	s25   	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
36    	--    	--    	r20   	r20   	r20   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s37   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
37    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	38    	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
38    	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s39   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
39    	--    	--    	r23   	r23   	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
40    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	41    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
41    	--    	--    	--    	s42   	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
42    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	43    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
43    	--    	--    	--    	r16   	r16   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r16   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
44    	--    	s27   	--    	--    	--    	--    	s32   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s36   	--    	--    	--    	s47   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	45    	30    	31    	--    	48    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
45    	--    	--    	s46   	--    	s23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
46    	--    	--    	--    	r18   	r18   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r18   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
47    	--    	--    	r21   	r21   	r21   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
48    	--    	--    	r22   	r22   	r22   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s49   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
49    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	50    	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
50    	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s51   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
51    	--    	--    	r24   	r24   	r24   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r24   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
52    	--    	--    	--    	s42   	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r15   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
53    	--    	--    	--    	r17   	r17   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r17   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
54    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	55    	67    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
55    	--    	--    	--    	r19   	s56   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r19   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
56    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	57    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
57    	--    	--    	--    	s42   	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r14   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
58    	--    	--    	--    	r20   	r20   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s59   	r20   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
59    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	60    	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
60    	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s61   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
61    	--    	--    	--    	r23   	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	r23   	r23   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
62    	--    	--    	--    	r21   	r21   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r21   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
63    	--    	--    	--    	r22   	r22   	--    	--    	--    	--    	--    	--    	--    	--    	--    	s64   	r22   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
64    	--    	s44   	--    	--    	--    	--    	s54   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s58   	--    	--    	--    	s62   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	65    	52    	53    	--    	63    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
65    	--    	--    	--    	--    	s40   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s66   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
